name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
ÇØ¹°Ä®±¹¼ö,100,87.29894,68.66333,24.01552,24.9584,20.52135,41.81919,73.65501,67.49861,23.57182,24.29284,24.12645,25.01386,50.47143,57.68164,29.11813,25.18025,25.4021,31.94675,29.50637,48.69661,63.61619,28.39711,25.90127,27.34331,27.01053,29.95008,45.92346,64.0599,28.45257,24.79201
ÇØ¹°Äá³ª¹°Âò,45,40,35,75,100,55,55,55,55,50,45,75,55,85,60,95,100,75,85,30,65,30,80,95,75,75,55,65,55,40,55
ÇØ¹°ÅÁ,100,82.85565,65.45075,37.78009,38.04064,41.47993,55.91453,80.51068,62.94945,38.40541,38.92652,36.99843,41.7926,66.54507,67.1704,44.18968,39.76029,38.30119,40.75039,51.43303,76.23762,79.98957,40.38561,44.08546,40.43772,38.3533,46.01354,68.47316,72.173,41.89682,39.3434
ÇØ¹°ÆÄÀü,49.05385,50.65502,65.64774,51.8195,38.86462,45.5604,57.64192,67.2489,60.84425,51.0917,37.8457,44.54148,48.03493,89.22852,56.04075,44.68704,44.54148,46.2882,100,55.60407,67.83114,58.22416,48.03493,45.85152,50.3639,58.0786,47.88937,59.09752,60.40756,60.55312,52.11062
ÇØ½ÅÅÁ,82.96199,79.1612,66.71035,54.65268,66.44823,66.1861,70.24901,75.88466,80.47182,87.41808,85.58322,87.54914,81.91349,100,87.54914,78.37483,73.13237,87.6802,85.84534,83.35517,89.77719,77.32634,71.42857,84.2726,84.01048,82.30668,85.84534,94.10222,81.38925,69.98689,72.346
ÇÜºÎÄ§,0,64.28571,100,50,57.14285,35.71428,50,57.14285,71.42857,42.85714,64.28571,0,0,85.71428,35.71428,92.85714,0,35.71428,42.85714,42.85714,0,42.85714,64.28571,85.71428,0,42.85714,0,42.85714,71.42857,50,42.85714
ÇÜÀü,69.56521,100,86.95652,30.43478,56.52173,43.47826,60.86956,30.43478,52.17391,73.91304,60.86956,56.52173,39.13043,47.82608,52.17391,47.82608,65.21739,39.13043,69.56521,43.47826,43.47826,0,56.52173,65.21739,39.13043,69.56521,78.26086,26.08695,56.52173,39.13043,73.91304
ÇÜÃ¤¼ÒººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çö¹ÌÁ×,63.15789,68.42105,71.92982,42.10526,71.92982,57.89473,71.92982,73.68421,57.89473,89.47368,80.70175,70.17543,64.91228,63.15789,59.64912,66.66666,75.43859,70.17543,54.38596,66.66666,57.89473,50.87719,63.15789,75.43859,84.21052,80.70175,61.4035,61.4035,87.71929,85.96491,100
È£¹ÚººÀ½,48.87298,63.64937,83.22003,75.74239,81.64579,62.46869,67.29874,80.50089,95.92128,86.18962,78.89087,71.44901,62.68336,72.37924,96.81574,97.5313,83.7567,79.03398,76.56529,68.44364,66.33273,100,97.78175,87.44186,77.71019,67.94275,59.39177,57.81753,87.62075,84.83005,74.77638
È£¹ÚÀü,80.01519,79.48328,86.55015,77.73556,68.61702,57.06686,70.36474,92.93313,93.61702,77.58358,75.22796,68.23708,64.81762,83.7386,93.84498,83.7386,79.9392,74.92401,91.71732,61.39817,71.58054,100,80.24316,82.4468,71.80851,72.03647,67.32522,71.35258,90.5775,79.63525,76.06382
È£¹ÚÁ×,49.45054,61.96111,71.09044,56.46661,56.7202,54.18427,63.82079,78.02197,82.92476,67.9628,66.35672,67.54015,62.2147,76.16229,89.43364,88.16568,75.73964,71.17497,76.92307,72.02028,75.65511,93.74471,77.59932,79.28994,71.42857,73.7109,72.612,78.44463,100,77.59932,79.71259
È£¹ÚÂî°³,54.0201,69.09547,95.22613,91.45728,85.67839,71.10552,56.78391,74.87437,100,83.91959,73.61809,73.11557,69.34673,66.83417,89.69849,94.97487,86.93467,79.89949,68.59296,52.51256,58.29145,75.12562,91.45728,92.46231,71.60804,61.80904,63.31658,47.98994,70.85427,72.61306,66.0804
È«¾îÂò,100,78.94736,78.94736,57.89473,56.39097,48.87218,63.15789,76.69172,54.88721,63.90977,77.4436,54.88721,58.64661,50.37593,34.58646,43.60902,38.34586,45.11278,78.19548,43.60902,45.86466,46.61654,30.82706,39.09774,54.13533,53.38345,53.38345,33.0827,45.11278,31.57894,45.86466
È«ÇÕ»êÀû,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
È«ÇÕÅÁ,29.06857,23.74616,31.93449,35.9263,50.05117,51.38178,68.88433,60.38894,58.0348,55.16888,52.81473,51.17707,49.74411,71.44319,55.68065,55.98771,63.35721,56.29477,63.1525,76.66325,88.33162,67.75844,70.01023,83.93039,74.20675,80.65506,83.21392,100,85.46571,76.15148,71.34083
