id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
439,439,초당순두부,522,49.14,29.16,15.84,0.9,1206,0,3.78
440,440,추어탕,189,11.34,11.13,10.745,0,861,55.44,1.085
441,441,충무김밥,584,23.44,5.96,109.16,17.2,1296,156.84,1.08
442,442,취나물,45,1.872,1.818,6.66,1.044,241.2,0,0.252
443,443,치커리겉절이,39.6,1.296,1.314,6.318,3.402,288,0,0.216
444,444,치킨,903,65.19,49.71,48.81,1.5,1245,177.93,12.99
445,445,치킨가스,592,27.92,33.92,44.02,4.16,780,72.96,8.42
446,446,치킨데리야끼,707.2,56.236,30.634,51.714,0.374,907.8,181.186,8.806
447,447,치킨크림리조또,445.85,14.9902,0,0,4.0006,522.97,0,11.9054
448,448,카레라이스,518.4,14.928,6.72,99.552,0.768,1008,13.392,2.112
449,449,칼국수,539,23.1,3.43,104.3,0,1540,119.98,1.4
450,450,캘리포니아롤,489,12.33,9.06,89.22,8.91,1296,65.97,2.13
451,451,코다리조림,86,16.46,0.4,4.16,3.67,466,66.8,0.17
452,452,코다리찜,188,28.98,2.7,12.16,5,1240,121.92,0.62
453,453,콘치즈구이,224,9.51,12.85,17.56,7.31,313,22.06,4.5
454,454,콩국수,648,31.2,26.8,71.36,1.92,536,0,1.36
455,455,콩나물국,24,2.96,0.36,2.44,0.64,876,2.92,0.12
456,456,콩나물국밥,498,22.078,6.059,88.727,3.486,481.4,164.091,1.66
457,457,콩나물밥,393.6,14.976,5.056,71.648,0.128,870.4,10.048,1.344
458,458,콩나물찜,112,13.34,2.02,9.94,0,446,129.7,0.42
459,459,콩밥,173,4.38,0.39,38.04,0.1,25,0,0.14
460,460,콩비지찌개,276,26.96,12.32,14.28,13,1156,28.48,2.04
461,461,콩자반,84.3,5.391,2.319,10.449,1.059,260.4,0,0.201
462,462,크림스파게티,836,21.8,50.6,73.76,9.16,1032,126.56,25.68
463,463,탕수육,228,8.7,10,25.9,0,221,0,0
464,464,토란국,64,4,0.48,10.44,1.08,760,4.48,0.16
465,465,토마토스파게티,645,24.35,19.15,93.2,15.6,1510,49.15,5.45
466,466,톳나물초무침,22.8,1.332,0.444,5.736,1.932,111.6,0.012,0.072
467,467,파래무침,12.9,1.146,0.333,2.772,0.297,75.3,0.003,0.051
468,468,파래볶음,37.1,2.296,2.016,5.747,1.386,137.9,0,0.301
469,469,파래전,78.8,1.896,2.012,12.708,0.332,113.2,5.196,0.336
470,470,팔보채,198,27.324,6.38,7.524,4.598,1883.2,112.156,0.858
471,471,팟타이,146,3.98,6.2,18.54,5.41,270,39.68,0.96
472,472,팥죽,324,12.68,0.76,66.64,0.08,508,0,0.28
473,473,표고버섯볶음,17.1,0.999,0.9,3.123,0.36,91.8,0,0.117
474,474,풋고추볶음,70,1.93,3.23,8.25,4.34,276,0,0.58
475,475,풋고추찜,51,2.31,0.99,8.27,1.44,708,0,0.14
476,476,풋마늘무침,26.6,0.917,0.574,5.635,2.639,108.5,0.007,0.098
477,477,하이라이스,403.2,14.472,4.068,76.824,0,885.6,10.188,0.468
478,478,함박스테이크,348,24.2,21.46,14.38,0.12,396,93.46,6.6
479,479,해물덮밥,770,42.07,22.47,100.45,1.19,1806,286.23,5.39
480,480,해물볶음,420,38.2,15.32,32.2,7.4,1756,329.6,2.12
481,481,해물볶음밥,704,25.12,27,90.44,1.24,1076,241.8,5.4
482,482,해물순두부찌개,55.1,7.771,1.615,2.679,1.159,254.6,26.125,0.304
483,483,해물찜,400,42.6,9.8,35.4,5.5,2135,419.15,1.5
484,484,해물칼국수,847,33.99,4.4,161.04,2.42,2772,55.66,1.1
485,485,해물콩나물찜,433.5,59.84,9.435,32.555,6.29,1181.5,340.425,1.7
486,486,해물탕,270,39.78,4.68,16.62,0.78,2046,469.5,0.78
487,487,해물파전,256.5,8.25,12.6,27.435,1.23,450,76.08,1.56
488,488,해신탕,57,7.93,1.88,2.03,0.41,266,51.03,0.38
489,489,햄부침,244,11.3,17.1,11.3,1,716,72.11,4.4
490,490,햄전,168.7,13.678,9.45,5.908,0.882,511.7,78.995,2.457
491,491,햄채소볶음,142.8,13.23,6.363,8.022,4.179,703.5,31.08,1.491
492,492,현미죽,64,1.2,0.4,15.2,0.4,1,0,0.09
493,493,호박볶음,18.9,0.588,0.924,2.471,1.134,163.8,0.917,0.133
494,494,호박전,208.5,6.48,13.095,16.095,2.85,277.5,92.52,2.34
495,495,호박죽,196,7.72,6.84,26.32,14.24,168,0,0.16
496,496,호박찌개,96,5.61,2.61,12.21,5.79,1023,9.27,0.39
497,497,홍어찜,102.5,18,1.35,3.725,0.725,667.5,74.775,0.225
498,498,홍합산적,156.8,17.784,4.8,10.576,3.336,720,60.712,0.832
499,499,홍합탕,29,3.68,0.57,2.28,0,303,25.13,0.14
500,500,화양적,273,13.575,14.775,21.345,1.215,796.5,123.255,3.825
501,501,황태구이,438,47.8,15.4,26.9,14.2,1136,211.58,2.4
502,502,황태콩나물찜,533,66.105,12.935,44.98,11.31,1586,126.295,2.275
503,503,황태해장국,180,24.48,6.78,5.7,1.5,1536,150.3,1.08
504,504,회냉면,114,3.2,1.4,22.2,0,276,0,0
505,505,회덮밥,685,30.2,16.55,103.3,10.95,745,88.65,2.9
506,506,훈제오리,797.5,43.05,64.075,12.075,0.275,1220,171,15.975
507,507,훠궈,93,4.81,5.11,6.83,1.13,390,9.65,0.97
508,508,흑임자죽,244,4.4,18.92,14.56,3,636,0,1.12
509,509,흰죽,53,0.99,0.15,11.45,0,0,0,0.05
